id,type,lat,lon,data
1419372974,Walkable Bridge,52.9887795,-3.0439005,"{""bicycle"": ""no"", ""bridge"": ""boardwalk"", ""foot"": ""designated"", ""highway"": ""footway"", ""horse"": ""no"", ""surface"": ""unpaved""}"
1270623916,Walkable Bridge,53.3823747,0.1551079,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
32965194,Walkable Bridge,53.2122366,-1.3815287,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""yes"", ""highway"": ""footway"", ""layer"": ""0""}"
446644365,Walkable Bridge,52.3842043,1.4466044,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""path"", ""layer"": ""1"", ""surface"": ""wood""}"
84924482,Walkable Bridge,52.1329261,-1.9140031,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway""}"
1173515252,Walkable Bridge,55.6139175,-5.6840689,"{""bridge"": ""yes"", ""highway"": ""path"", ""surface"": ""wood""}"
498037666,Walkable Bridge,50.5477431,-3.9680123,"{""bridge"": ""yes"", ""designation"": ""public_bridleway"", ""highway"": ""footway"", ""layer"": ""1""}"
840681149,Walkable Bridge,54.6295812,-1.722233,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""path"", ""layer"": ""1"", ""prow_ref"": ""WestAuckland FP 21""}"
42195308,Walkable Bridge,53.8901158,-1.2783417,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""highway"": ""footway"", ""horse"": ""no"", ""motorcar"": ""no"", ""ski"": ""no"", ""snowmobile"": ""no"", ""surface"": ""concrete""}"
906883558,Walkable Bridge,54.9716365,-2.1179227,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""surface"": ""asphalt""}"
1019456945,Walkable Bridge,51.546489,0.0572729,"{""bridge"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""layer"": ""1"", ""lit"": ""yes"", ""surface"": ""asphalt""}"
860441729,Walkable Bridge,55.921124,-2.6438461,"{""bridge"": ""yes"", ""highway"": ""path"", ""layer"": ""1""}"
1036061104,Walkable Bridge,52.7544576,-0.5329523,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""path"", ""prow_ref"": ""Cast/9""}"
1054026800,Walkable Bridge,50.9822913,-1.3833801,"{""bicycle"": ""designated"", ""bridge"": ""yes"", ""bridge:structure"": ""arch"", ""foot"": ""designated"", ""highway"": ""cycleway"", ""layer"": ""1"", ""lit"": ""yes"", ""segregated"": ""no"", ""surface"": ""asphalt""}"
70568131,Walkable Bridge,52.1120341,-1.8466227,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""highway"": ""footway""}"
298449436,Walkable Bridge,51.8506186,-2.274241,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""horse"": ""no"", ""vehicle"": ""no""}"
29908585,Walkable Bridge,51.5663227,0.1193302,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""lit"": ""yes"", ""name"": ""Mayfield Footbridge"", ""source"": ""Survey of 2015-06-01""}"
377046934,Walkable Bridge,54.1205006,-2.3514926,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""yes"", ""highway"": ""footway"", ""lit"": ""no"", ""source"": ""survey""}"
1370883834,Walkable Bridge,55.9386126,-4.2498663,"{""bridge"": ""yes"", ""highway"": ""path"", ""layer"": ""1""}"
164058249,Walkable Bridge,52.3948353,-2.4795262,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
148760924,Walkable Bridge,51.4653937,-2.7645583,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""highway"": ""footway"", ""layer"": ""1"", ""prow_ref"": ""Clapton-in-Gordano Footpath 3 (LA5/3)"", ""surface"": ""concrete""}"
1743877,Walkable Bridge,51.6599456,-0.0672942,"{""bicycle"": ""designated"", ""bridge"": ""yes"", ""foot"": ""designated"", ""highway"": ""cycleway"", ""layer"": ""1"", ""lit"": ""yes"", ""oneway"": ""no"", ""segregated"": ""no"", ""surface"": ""asphalt""}"
49223913,Walkable Bridge,51.7999278,-0.0816102,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""layer"": ""1"", ""prow_ref"": ""Hertford FP 87;Hertford FP 88"", ""source"": ""local_knowledge"", ""source:prow_ref"": ""hertfordshire_county_council_prow_gis_data"", ""surface"": ""wood""}"
1339096621,Walkable Bridge,52.7144055,0.342624,"{""bridge"": ""yes"", ""foot"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""note"": ""Path on ground, but not the Definitive Line of the Public Footpath."", ""source"": ""Bing""}"
974782606,Walkable Bridge,52.5286664,1.388251,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""path"", ""layer"": ""1"", ""prow_ref"": ""Kirstead FP 4"", ""source:prow_ref"": ""definitive_statement"", ""surface"": ""grass""}"
46257196,Walkable Bridge,53.4728879,-2.2655061,"{""bicycle"": ""designated"", ""bridge"": ""yes"", ""foot"": ""designated"", ""highway"": ""cycleway"", ""layer"": ""1"", ""lit"": ""yes"", ""motor_vehicle"": ""no"", ""segregated"": ""no"", ""smoothness"": ""excellent"", ""surface"": ""compacted""}"
1095696709,Walkable Bridge,51.9151426,0.8721671,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""layer"": ""1"", ""prow_ref"": ""Colchester FP 39"", ""source:designation"": ""essex_county_council_prow_gis_data"", ""source:prow_ref"": ""essex_county_council_prow_gis_data"", ""surface"": ""ground""}"
549953344,Walkable Bridge,51.8511253,-2.3387808,"{""bridge"": ""yes"", ""highway"": ""footway""}"
234940797,Walkable Bridge,53.5663533,-2.284584,"{""bicycle"": ""dismount"", ""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""horse"": ""no"", ""layer"": ""1"", ""motor_vehicle"": ""no"", ""prow_ref"": ""94BUR"", ""sidewalk"": ""no"", ""surface"": ""grass""}"
309057508,Walkable Bridge,53.0962316,-1.9335563,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""yes"", ""highway"": ""footway"", ""source"": ""survey;gps""}"
132379900,Walkable Bridge,53.1447847,-1.8973335,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""yes"", ""highway"": ""footway"", ""source"": ""GPS""}"
52521276,Walkable Bridge,57.1773496,-2.1653305,"{""bicycle"": ""yes"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""surface"": ""asphalt""}"
175759651,Walkable Bridge,51.0236522,0.2876681,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""yes"", ""highway"": ""footway"", ""source"": ""gps"", ""source:designation"": ""sign at 4 way path jct. & foot bridge""}"
688060167,Walkable Bridge,54.236819,-0.8795077,"{""bridge"": ""yes"", ""dog"": ""leashed"", ""highway"": ""footway"", ""layer"": ""1"", ""lit"": ""no"", ""surface"": ""wood""}"
961150592,Walkable Bridge,52.2590118,-1.5216139,"{""bridge"": ""yes"", ""golf"": ""cartpath"", ""golf_cart"": ""designated"", ""highway"": ""path"", ""layer"": ""1"", ""maxweight:signed"": ""no""}"
1209433843,Walkable Bridge,52.5044837,1.6754194,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""path"", ""layer"": ""1"", ""prow_ref"": ""Blundeston FP 20"", ""source:prow_ref"": ""suffolk_county_council_prow_gis_data"", ""surface"": ""wood""}"
1312188457,Walkable Bridge,53.1398793,-3.7966601,"{""bicycle"": ""yes"", ""bridge"": ""yes"", ""foot"": ""yes"", ""highway"": ""footway"", ""incline"": ""0%"", ""layer"": ""1"", ""motor_vehicle"": ""no"", ""surface"": ""concrete""}"
1021807114,Walkable Bridge,50.3067797,-3.6308778,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""horse"": ""no"", ""layer"": ""1"", ""lit"": ""no"", ""surface"": ""wood""}"
236061222,Walkable Bridge,50.8921022,0.3825908,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""layer"": ""1"", ""prow_ref"": ""Ashburnham FP 13"", ""source:prow_ref"": ""east_sussex_county_council_prow_gis_data""}"
1312844121,Walkable Bridge,52.4254323,-2.0755807,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""source"": ""survey;gps""}"
1475708859,Walkable Bridge,51.7769153,-1.2352265,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
986252707,Walkable Bridge,53.0875659,-4.1759374,"{""bridge"": ""yes"", ""highway"": ""path"", ""layer"": ""1""}"
729371427,Walkable Bridge,53.4141869,0.1847766,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""prow_ref"": ""Skidbrooke with Saltfleet Haven Footpath 47"", ""source"": ""Bing maps"", ""source:prow_ref"": ""lincolnshire_county_council_prow_gis_data""}"
